German,English
ich,I
sie,she/they/you (formal)
das,the/that
ist,is
du,you
nicht,not
die,the
der,the
wir,we
was,what
zu,to
er,he
ein,a/one
in,in
ja,yes
mir,me
mit,with
wie,how
den,the (accusative)
mich,me
auf,on/upon
dass,that
aber,but
eine,a/one (feminine)
so,so
hat,has
hier,here
haben,have
für,for
sind,are
war,was
von,from/of
wenn,if/when
dich,you (accusative)
ihr,her/their/you
nein,no
habe,have
bin,am
noch,still/yet
nur,only
da,there
dir,you (dative)
sich,him/her/it/them(self)
uns,us
hast,have
dem,the (dative)
kann,can
gut,good
auch,also/too
schon,already
als,as/than
sein,to be/his
mal,once/time
jetzt,now
ihn,him (accusative)
dann,then
aus,out of/from
meine,my (feminine)
um,around/about
im,in the
wird,becomes/will be
mein,my
bist,are
doch,yet/however/still
alles,everything
weiß,white/know
keine,no/none
oder,or
nach,after/to
nichts,nothing
man,one/someone/people
muss,must
werden,to become/will be
will,want
wo,where
etwas,something
oh,oh
mehr,more
bei,at/near
also,so/therefore
bitte,please/you're welcome
immer,always
hab,have
warum,why
vor,before/in front of
los,off/loose/going on
wieder,again
sagen,to say
machen,to make/to do
danke,thanks
sehr,very
alle,all/everyone
